stop_id	stop_name
12372	Main North Rd near Swift St
46146	Linwood Ave near Cashel St
28713	Fitzgerald Ave near Armagh St
50691	Hansons Ln near Haynes Ave
52873	Cranley St
24350	Emmett St near Riselaw 
50211	Aylesbury Rd near Runners 
51541	The Runway near Dalwood Dve
53723	Innes Road near Severn Street
38522	Springfield Rd near Kinloch St
15887	Main North Rd near Neeves 
16738	Sawyers Arms Rd
15405	Papanui
13231	Kahu Rd near Girvan St
15894	Main North Rd near Doubledays 
38994	Main South Rd near Canterbury St
37663	Burnside High School
26542	Estuary Rd near Bellamy Ave
23033	Eastgate Mall (Linwood Ave)
53734	Marine Parade near Beresford St
52887	Salisbury St near Victoria 
15414	Papanui Rd near Blighs 
46133	Gloucester St near Barbadoes 
12386	Main North Rd near Factory 
51556	Wharenui Rd near Janet St
38514	Edgeware Rd near Caledonian 
10171	Hyde Park
15860	Woodend Rd near Greenwood Cl
24332	Buchanans Rd near Peebles Dr
22156	Selwyn St near Ruskin 
40824	Wairakei Rd near Jennifer St
26999	Gloucester St
51560	Wharenui Rd near Riccarton 
13208	Guildford St near Wadhurst Pl
25660	Westlake Dr near Eskdale Pl
52894	Bealey Ave
50230	Two Chain Rd near Aylesbury 
23482	Radley St near Tavender 
12355	Belfast
14534	Epsom Rd near Carbine Pl
38987	Main South Rd near Tower St
13685	Stanmore Rd near Haast St
11027	Main South Rd near English St
43091	Maidstone Rd near Farnham Pl
38505	Barbadoes St near Edgeware Rd
53747	Halswell Shops
10185	Kedleston Dr near Audley Gate
43089	Main South Rd near Carmen 
36794	Cresswell Ave near Gayhurst Rd
33284	Moorhouse Ave near Antigua St
23014	Hay St near Kuaka Cres
24345	Emmett St near Shirley Rd
40811	Lincoln Rd near Ln
40807	Wairakei Rd near Greers 
22160	Halswell Rd nearHalswell Junction 
53752	Marine Parade near Beresford Street
51573	Wharenui Rd near Riccarton 
25673	Westlake
23495	Cashmere 
45262	Rolleston Dr near Renoir 
38973	Main South Rd near Springs 
37644	Whiteleigh Ave near Leamington St
12364	Halswell Rd near Warren Cres
47440	Clarence St near Dilworth 
13212	Guildford St near Heath 
15873	Main North Rd
54605	Hereford St near Latimer Square
18901	Seaview Rd
47438	Rolleston Dr near Othello 
14990	Bealey Ave
24795	Emmett St near Skipton 
24313	Buchanans Rd near Cicada Pl
50253	Jones Rd (Templeton)
54614	Hereford St near Latimer Square
51587	Wharenui Rd near Puna St
53768	Birchs Rd near Oaks Dr
51103	Ti Rakau Dr near Delta Wy
11004	Cashmere Rd near Thorrington 
12338	Williams St near Holland Drive
43070	Maidstone Rd near Farnham Pl
37637	Clarence St near Burdale 
10159	Kedleston Dr near Apsley 
12340	Main North Rd near Doubledays 
13671	Ilam Rd near Montana Ave
10163	Kedleston Dr near Greystoke Ln
24321	Briggs Rd
23476	Cashmere
25656	Westlake Dr near Lancewood 
26503	Estuary Rd near Bellamy Ave
54622	Gardiners Road near Cullahill Street
33266	Moorhouse Ave near Montreal St
26981	Kingsbury Ave near Melford Cl
51594	Hereford St near Barbadoes 
53775	West Melton shops
22141	Barrington Mall (Athelstan St)
14523	Moorhouse Ave near Madras St
50269	Ellesmere Junction Rd near Mather Pl
38956	Main South Rd near Garvins 
51119	Disraeli St near Braddon 
39472	Keyes Rd near Lonsdale St
18532	Lake Terrace Rd
15020	Williams St near Dale 
38145	Dunbars Rd near Westlake Dr
26158	Estuary Rd near Sandra St
54195	Penruddock Rise near Francis Mill Grove
43977	Cranford St near Fraser 
42646	Wakefield Ave near Duncan St
55046	Jones Rd near Dawsons 
30661	Major Hornbrook Rd near Billys Trk
32840	Ramahana Rd near Centaurus 
14179	Parker St near Steele 
16358	Carlton Mill Rd near Cheltenham St
17689	Memorial Ave near Chilcombe St
17207	Riccarton Rd near Bartlett St
15031	Main North Rd near Old 
16362	Rossall St near Rhodes 
38132	Dunbars Rd near Westlake Dr
39464	Keyes Rd near Rawson St
32829	Waltham Rd near Rogers St
11908	Centaurus Rd near Whaka Tce
44815	Buchanans Rd near Dumfries Dr
14180	Colombo St near Salisbury 
42633	Lyttelton Wharf
55051	Jones Rd near Dawsons 
26162	Rocking Horse Rd near Tern St
11912	Hoon Hay Rd near Cashmere 
32838	Centaurus Rd near Ramahana 
30657	Nayland St near Stoke 
